RealisticTripsSettings	int	min_event_weekday		141
RealisticTripsSettings	int	min_event_weekend		143
RealisticTripsSettings	int	new_years_num_events		147
RealisticTripsSettings	int	night_share		9
RealisticTripsSettings	int	nonday_cityservices_share		8
RealisticTripsSettings	int	nonday_commercial_share		6
RealisticTripsSettings	int	nonday_industry_share		7
RealisticTripsSettings	int	nonday_office_share		5
RealisticTripsSettings	int	office_avgday_pct		117
RealisticTripsSettings	int	office_sat_pct		118
RealisticTripsSettings	int	office_sun_pct		119
RealisticTripsSettings	int	office_weekday_pct		116
RealisticTripsSettings	float	park_avgday		46
RealisticTripsSettings	float	park_saturday		47
RealisticTripsSettings	float	park_sunday		48
RealisticTripsSettings	float	park_weekday		45
RealisticTripsSettings	int	part_time_percentage		109
RealisticTripsSettings	bool	peak_spread		11
RealisticTripsSettings	int	remote_percentage		13
RealisticTripsSettings	int	resourceConsumption		137
RealisticTripsSettings	timeEnum	school_end_time		88
RealisticTripsSettings	int	school_lv1_avgday_pct		94
RealisticTripsSettings	int	school_lv1_saturday_pct		95
RealisticTripsSettings	int	school_lv1_sunday_pct		96
RealisticTripsSettings	int	school_lv1_weekday_pct		93
RealisticTripsSettings	int	school_lv2_avgday_pct		98
RealisticTripsSettings	int	school_lv2_saturday_pct		99
RealisticTripsSettings	int	school_lv2_sunday_pct		100
RealisticTripsSettings	int	school_lv2_weekday_pct		97
RealisticTripsSettings	int	school_lv34_avgday_pct		102
RealisticTripsSettings	int	school_lv34_saturday_pct		103
RealisticTripsSettings	int	school_lv34_sunday_pct		104
RealisticTripsSettings	int	school_lv34_weekday_pct		101
RealisticTripsSettings	timeEnum	school_start_time		87
RealisticTripsSettings	months	school_vacation_month1		85
RealisticTripsSettings	months	school_vacation_month2		86
RealisticTripsSettings	float	school_vacation_per_year		84
RealisticTripsSettings	int	service_expenses_night_reduction		135
RealisticTripsSettings	SettingsEnum	settings_choice		1
RealisticTripsSettings	float	shopping_avgday		27
RealisticTripsSettings	int	shopping_gate_consumer_goods_pct		35
RealisticTripsSettings	int	shopping_gate_groceries_pct		32
RealisticTripsSettings	int	shopping_gate_health_fuel_pct		33
RealisticTripsSettings	int	shopping_gate_household_goods_pct		34
RealisticTripsSettings	int	shopping_gate_large_purchases_pct		36
RealisticTripsSettings	int	shopping_gate_meals_pct		31
RealisticTripsSettings	bool	shopping_log_enabled		138
RealisticTripsSettings	float	shopping_saturday		28
RealisticTripsSettings	float	shopping_sunday		29
RealisticTripsSettings	bool	shopping_trip_gates_enabled		30
RealisticTripsSettings	float	shopping_weekday		26
RealisticTripsSettings	float	slow_time_factor		113
